ability_slot,ability_name,ability_text,character_id
basic,Ability 1,An aggressive soldier who sacrifices healing for rapid attacks.,AimDmg_Speed
special,Ability 2,Submachine Gun  Attack primary target for 160% damage + apply Bleed for 2 turns. Level Required: 65  t4 confidence 7.7%,AimDmg_Speed
ultimate,Ability 3,"Hyperdose  Attack primary target for 250% damage.
If this character has a negative effect, Bonus attack the primary target for 125% per negative effect on the target
Gain Speed Up for 4 turns. Level Required: 68  t4 confidence 3.8%",AimDmg_Speed
passive,Ability 4,"Juicer  On Turn, fill Speed Bar by 20% for self and adjacent A.I.M. allies.
Gain +15% Damage and +10% Max Health. Level Required: 64  t4 confidence 16.9%",AimDmg_Speed
basic,Ability 1,A virulent attacker who prevents healing and passes negative effects to his targets.,AimControl_Infect
special,Ability 2,Puncture  Attack primary target for 270% damage. Copy all negative effects on this character to the primary target + apply a random negative effect. Level Required: 65  t4 confidence 9.6%,AimControl_Infect
ultimate,Ability 3,"Biohazard  Fill Speed Bar by 75%.
Heal self for 10,000 Health + 20% of Max Health.

Gain 2 Counter.  Apply 2 Counter to adjacent A.I.M. allies. Level Required: 68  t4 confidence 6.7%",AimControl_Infect
passive,Ability 4,"Metabolism  On Turn, gain 2 random negative effects for 2 turns.

Gain +10% Speed.
Gain +15% Max Health.

On Turn:
> If Offense Down, gain Offense Up for 2 turns.
> If Defense Down, gain Defense Up for 2 turns.
> If Slow, gain Speed Up for 2 turns. Level Required: 64  t4 confidence 9.2%",AimControl_Infect
basic,Ability 1,A massive brute that gains strength at the expense of vulnerability.,AimDmg_Offense
special,Ability 2,Bash  Attack primary target for 280% damage + apply Defense Down. Level Required: 65  t4 confidence 9.6%,AimDmg_Offense
ultimate,Ability 3,"Sudden Evolution  Gain Offense Up + apply Offense Up to adjacent A.I.M. allies for 3 turns.
Attack primary target for 300% damage.

This attack cannot miss. Level Required: 68  t4 confidence 6.6%",AimDmg_Offense
passive,Ability 4,"Growth Spurt  On Spawn, gain Defense Down.
On Turn, Heal for 20% of Max Health. Level Required: 64  t4 confidence 8.6%",AimDmg_Offense
basic,Ability 1,A focused healer who applies and removes negative effects.,AimSupport_Heal
special,Ability 2,Wounding Shot  Attack primary target for 280% damage + apply Offense Down for 1 turn. Level Required: 65  t4 confidence 8.3%,AimSupport_Heal
ultimate,Ability 3,"Surgery Drone  Heal lowest Health ally and adjacent allies for 7,000 Health + 15% of this character's Max Health + flip Bleed on lowest Health ally and adjacent allies. Level Required: 68  t4 confidence 5.1%",AimSupport_Heal
passive,Ability 4,"Antidote  On Turn, choose 1 random ally to apply 1 random positive effect from this list: Offense Up, Defense Up, Speed Up, Regeneration, Deathproof, Deflect.

If ally is A.I.M., then apply 2 random positive effects from the list.

When a negative effect is applied to an A.I.M. ally, fill this character's Speed Bar by 20%. Level Required: 64  t4 confidence 13.6%",AimSupport_Heal
basic,Ability 1,A resilient guard who taunts while healing herself and slowing her enemies.,AimTank_Taunt
special,Ability 2,"Takedown  Attack primary target for 270% damage. If Ability Blocked, attack primary target for 470% damage instead.
Apply Slow. Level Required: 65  t4 confidence 6.9%",AimTank_Taunt
ultimate,Ability 3,"Charge Capacitor  Gain Taunt for 1 turn + Slow for 2 turns. Heal self and adjacent A.I.M. allies for 10,000 Health + 10% of Max Health.  Clear Speed Up on self. Level Required: 68  t4 confidence 4.2%",AimTank_Taunt
passive,Ability 4,"Immunization  On attacked, if Scientist Supreme is an ally, when above 75% Health, transfer 1 negative effect from self and each A.I.M. ally to the attacking enemy.

Gain +10% Max Health and +15% Resistance. Level Required: 64  t4 confidence 7.1%",AimTank_Taunt
basic,Ability 1,"Transformed into a hideous monster by Gamma radiation, the Abomination uses his strength and spines to tear into enemies and shred their defenses.",Abomination
special,Ability 2,Assist/Counter Info Attack primary target for 205% damage + 17% Piercing + clear Defense Up + apply Defense Down.,Abomination
ultimate,Ability 3,"Furious Swipes  Attack primary target for 250% Piercing + clear Defense Up + apply Defense Down.
Chain to 1 adjacent target for 200% Piercing + clear Defense Up + apply Defense Down.

Counterattack breaks this Chain. Level Required: 65  t4 confidence 52.9%",Abomination
passive,Ability 4,"Deafening Clap  Attack all enemies for 250% Piercing + clear Defense Up + apply Offense Down for 2 turns and Defense Down for 2 turns.

Gain +100% Extra Focus against targets with Defense Down.
Gain +100% Crit Chance against targets with Defense Down or Defense Up.

This attack cannot be blocked. Level Required: 68  t4 confidence 70.3%",Abomination
basic,Ability 1,"Given the ability to absorb the properties of any material he touches, Absorbing Man takes and flips his allies negative status effects while stealing his enemy's positive status effects.",AbsorbingMan
special,Ability 2,"Assist/Counter Info Attack primary target for 230% damage + 17% Piercing + copy and clear 2 positive effects, excluding Stealth and Taunt, from the primary target to self.If the primary target has Vulnerable, gain +2 Deflect, up to a max of 5.",AbsorbingMan
ultimate,Ability 3,"Brick Bash  Attack primary target for 360% damage + copy and clear 2 positive effects, excluding Stealth and Taunt, from the primary target to self.

If the primary target has Vulnerable, gain +2 Deflect, up to a max of 5. Level Required: 65  t4 confidence 29.0%",AbsorbingMan
passive,Ability 4,"Wrecking Ball  Copy and clear all negative effects from all MASTERS OF EVIL allies to self.
Flip all negative effects to positive effects on self.

Apply Offense Down for 2 turns to the primary target.
Attack primary and adjacent targets for 400% damage.

Clear Taunt from all allies.
Gain Taunt. In CRUCIBLE, gain Taunt for 2 turns instead. Level Required: 68  t4 confidence 34.2%",AbsorbingMan
