character_name,character_id,AbsoluteAForce,Accursed,AForce,Aim,AlphaFlight,AnnihilationWave,Annihilator,Asgard,Astonishing,Astral,Avenger,Bifrost,BIO,BionicAvenger,BlackOrder,BLASTER,BRAWLER,Brimstone,Brotherhood,Cabal,Champion,ChaosTeam,CITY,Conqueror,CONTROLLER,COSMIC,Couples,DaringWarrior,DARK_PROMOTION,Darkhold,DarkHunter,Deathseed,Defender,Epic,Eternal,FantasticFour,FantasticFourMCU,GalacticCouncil,Gamma,GLOBAL,GotG,Hand,Harbingers,HellfireClub,HERO,HeroesForHire,HiveMind,Horseman,Hydra,Illuminati,ImmortalWeapon,ImmortalXMen,Infestation,InfinityWatch,Inhuman,InsidiousSix,Invader,Knowhere,KnowhereHeist,KnullChallengers,Kree,LEGENDARY,Liberty,Marauders,MastersOfEvil,Mercenary,MercsForMoney,MightyAvenger,Military,MINION,MSFOriginal,MUTANT,MYSTIC,MYTHIC,NewAvenger,NewMutant,NewWarrior,Nightstalker,Orchis,OutOfTime,Pegasus,PhoenixForce,PowerArmor,PROTECTOR,PymTech,Ravager,Rebirth,Retcon,SecretAvenger,SecretDefender,SecretWarrior,Shadowland,Shield,SinisterSix,SKILL,SpiderSociety,SpiderVerse,Starjammer,Stormbound,SuperiorSix,Supernatural,SUPPORT,Symbiote,TangledWeb,TECH,Thunderbolt,Uncanny,UncannyAvenger,Underworld,Undying,Unlimited,Vampire,Vigilante,VILLAIN,Wakanda,WarDog,Wave1Avenger,WeaponX,WebSlinger,WebWarrior,WinterGuard,XFactor,Xforce,Xmen,Xtreme,YoungAvenger,#,power,health,damage,armor,focus,resist,crit damage,crit chance,speed,dodge chance,block chance,block amount,accuracy
A.I.M. Assaulter,AimDmg_Speed,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,8,595957,1627350,218369,98629,20420,11232,130,10,118,0,0,25,100
A.I.M. Infector,AimControl_Infect,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,6,599561,1890407,128502,138077,29607,20420,130,10,114,0,0,25,100
A.I.M. Monstrosity,AimDmg_Offense,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,7,566276,1512313,199885,90738,24911,15928,130,10,77,0,0,25,100
A.I.M. Researcher,AimSupport_Heal,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,9,587442,2745139,128502,98629,15928,24911,130,10,81,0,0,25,100
A.I.M. Security,AimTank_Taunt,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,10,594785,3019653,135634,144982,20420,28647,130,10,76,0,0,25,100
Abomination,Abomination,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,1,768638,5256904,229845,143993,39411,24708,130,10,121,0,0,25,100
Absorbing Man,AbsorbingMan,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,2,694232,3698573,211285,192321,40839,45128,130,10,91,0,0,25,100
Adam Warlock,AdamWarlock,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,3,1287587,14136608,1027921,572031,138854,134770,130,10,120,0,0,25,100
Agatha Harkness,AgathaHarkness,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,4,1019147,9205208,685270,372315,110265,121497,130,10,114,0,0,25,100
Agent Coulson,Coulson,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,51,718188,3139598,227009,177528,42473,41655,130,10,120,0,0,25,100
